epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.507,1.00532,9.65086,0.69656,0.84478,1.36392,0.94097,0.93917,0.97717,0.78697,0.41989,0.22631,0.13362,0.02158,0.85883,7.25461,0.55687,0.48656,1.23527,0.00333042,0.00333042,0.00333042
2,650.565,0.88867,7.22843,0.6435,0.62699,1.25408,0.94697,0.92853,0.97655,0.77499,0.73442,0.43724,0.42581,0.16401,0.85989,5.29016,0.41545,0.50972,1.23991,0.00659778,0.00659778,0.00659778
3,969.165,0.9356,6.49859,0.58853,0.67907,1.28061,0.9025,0.88128,0.94161,0.71873,0.78937,0.5059,0.4994,0.18513,0.9916,5.12186,0.30161,0.62778,1.33144,0.00979914,0.00979914,0.00979914
4,1286.38,0.97408,6.17753,0.51916,0.71571,1.30193,0.92838,0.88156,0.94661,0.72897,0.78671,0.53893,0.53279,0.28119,0.9642,4.5049,0.25937,0.61899,1.31682,0.009703,0.009703,0.009703
5,1603.77,0.92642,5.66763,0.4707,0.66313,1.26609,0.94024,0.93706,0.97841,0.79176,0.76775,0.60118,0.58715,0.29596,0.81362,4.02815,0.19978,0.48316,1.16997,0.009604,0.009604,0.009604
6,1921.2,0.89228,5.30298,0.43452,0.6316,1.24293,0.95508,0.94301,0.98179,0.81498,0.80828,0.63025,0.64749,0.413,0.78563,3.58563,0.14861,0.4481,1.15802,0.009505,0.009505,0.009505
7,2238.45,0.86707,5.05776,0.41028,0.60388,1.21736,0.93593,0.93904,0.97591,0.80701,0.81336,0.61527,0.62459,0.4084,0.76643,3.46381,0.1389,0.47543,1.15184,0.009406,0.009406,0.009406
8,2557.83,0.84136,4.87475,0.39438,0.57618,1.20743,0.95831,0.94941,0.98453,0.81797,0.69162,0.56481,0.46649,0.27595,0.74559,3.92626,0.12576,0.42005,1.12975,0.009307,0.009307,0.009307
9,2876.37,0.83255,4.69537,0.37989,0.56392,1.19954,0.96522,0.95492,0.98667,0.83398,0.82066,0.68336,0.70849,0.48016,0.72541,3.07288,0.10991,0.39981,1.10577,0.009208,0.009208,0.009208
10,3194.3,0.81239,4.54379,0.36941,0.55005,1.18802,0.96353,0.96099,0.98782,0.84049,0.81599,0.70146,0.71732,0.50131,0.70606,2.91591,0.09486,0.38973,1.08281,0.009109,0.009109,0.009109
11,3511.83,0.80446,4.44688,0.36169,0.54148,1.18113,0.96052,0.95671,0.98801,0.8501,0.8066,0.71901,0.72197,0.5143,0.67908,2.8244,0.10341,0.37445,1.07344,0.00901,0.00901,0.00901
12,3832.65,0.79038,4.35666,0.35798,0.53201,1.1762,0.9656,0.96132,0.98734,0.84914,0.81214,0.71222,0.7164,0.51085,0.68295,2.83502,0.08927,0.37466,1.07893,0.008911,0.008911,0.008911
13,4151.6,0.78326,4.23794,0.35204,0.51849,1.16535,0.96237,0.96401,0.98728,0.85578,0.82222,0.72695,0.73121,0.5353,0.65003,2.69757,0.09047,0.35837,1.05133,0.008812,0.008812,0.008812
14,4470.24,0.77171,4.17237,0.34614,0.5128,1.1597,0.96827,0.95371,0.98855,0.865,0.82836,0.74129,0.76038,0.57882,0.64341,2.58367,0.09158,0.34812,1.04421,0.008713,0.008713,0.008713
15,4787.79,0.76443,4.09045,0.33901,0.50443,1.15591,0.96582,0.96997,0.98896,0.85335,0.81491,0.75166,0.73797,0.54763,0.67522,2.58061,0.08577,0.35399,1.07052,0.008614,0.008614,0.008614
16,5105.9,0.7637,4.0447,0.33507,0.506,1.15684,0.96414,0.97097,0.98856,0.86075,0.82706,0.75487,0.75096,0.56643,0.63881,2.52627,0.0766,0.34689,1.04205,0.008515,0.008515,0.008515
17,5424.65,0.74793,3.96535,0.32926,0.49174,1.14565,0.96803,0.97272,0.98951,0.86567,0.81978,0.76524,0.76268,0.58122,0.62834,2.48718,0.0702,0.33525,1.03719,0.008416,0.008416,0.008416
18,5741.89,0.74641,3.94849,0.32782,0.48421,1.14638,0.9685,0.97248,0.98999,0.8699,0.81225,0.75832,0.74876,0.57457,0.62938,2.526,0.07476,0.32983,1.03643,0.008317,0.008317,0.008317
19,6059.54,0.74024,3.92769,0.32466,0.48481,1.14234,0.96457,0.97618,0.98997,0.87357,0.82467,0.77049,0.77046,0.59315,0.61169,2.42279,0.0719,0.32368,1.02296,0.008218,0.008218,0.008218
20,6378.13,0.74354,3.88837,0.31924,0.48126,1.14007,0.96394,0.97387,0.98971,0.87397,0.82647,0.78509,0.79082,0.61427,0.61234,2.33511,0.07144,0.32546,1.02232,0.008119,0.008119,0.008119
21,6698.56,0.72955,3.7771,0.3159,0.47217,1.1333,0.9656,0.97064,0.98591,0.87011,0.82903,0.79252,0.784,0.60398,0.60067,2.31291,0.07008,0.33753,1.01445,0.00802,0.00802,0.00802
22,7017.82,0.72911,3.77249,0.31221,0.47065,1.13195,0.96815,0.9695,0.98963,0.87995,0.83022,0.79124,0.7952,0.6324,0.598,2.28748,0.0705,0.31391,1.0154,0.007921,0.007921,0.007921
