epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.10255,1.76469,2.64622,0.34657,1.11035,1.73364,0.80809,0.9034,0.91264,0.71753,1,0.70093,0.76927,0.35421,0.88072,3.78457,0.40303,0.51231,1.08933,0,0,0
2,4.5422,1.46916,3.35941,0.41192,2.05661,1.35459,0.84166,0.85714,0.91789,0.72086,1,0.70689,0.76911,0.34854,0.88099,3.78419,0.39838,0.50945,1.08859,1.9802e-05,1.9802e-05,1.9802e-05
3,4.98304,1.26476,4.50567,0.38579,0.91913,1.30236,0.8002,0.8583,0.92314,0.72391,1,0.70309,0.76905,0.35277,0.88538,3.76686,0.40473,0.51144,1.09254,3.9208e-05,3.9208e-05,3.9208e-05
4,5.36983,1.51272,4.24873,0.45902,1.72441,1.51112,0.80056,0.86033,0.92301,0.72167,1,0.70109,0.76902,0.35536,0.88413,3.76941,0.40563,0.51405,1.09044,5.8218e-05,5.8218e-05,5.8218e-05
5,5.78392,1.27999,3.02913,0.37511,1.02966,1.35589,0.87796,0.85714,0.92354,0.71556,1,0.70068,0.76908,0.34519,0.88359,3.71188,0.40518,0.51408,1.08813,7.6832e-05,7.6832e-05,7.6832e-05
6,6.22662,1.20773,3.89374,0.36371,0.84944,1.32861,0.8034,0.92857,0.91028,0.69885,0.97719,0.64286,0.74895,0.32562,0.91136,3.88805,0.43778,0.52605,1.10736,9.505e-05,9.505e-05,9.505e-05
7,6.74411,1.1444,2.60318,0.3506,0.90343,1.1694,0.79671,0.92857,0.89841,0.66226,0.85258,0.57143,0.65634,0.2405,0.94038,4.10307,0.46122,0.53729,1.11834,0.000112872,0.000112872,0.000112872
8,7.25615,1.36413,4.11667,0.46946,1.17516,1.36325,0.80812,0.90352,0.89875,0.64421,0.79084,0.57143,0.63258,0.1938,1.03036,4.38133,0.48034,0.58764,1.15523,0.000130298,0.000130298,0.000130298
9,7.76372,1.22388,2.56773,0.35602,1.0143,1.35701,0.80974,0.91279,0.89875,0.64964,0.78687,0.57143,0.63251,0.19565,1.02658,4.37131,0.48198,0.58707,1.15338,0.000147328,0.000147328,0.000147328
10,8.2815,1.19314,1.85405,0.35961,0.99935,1.27232,0.9148,0.76811,0.89777,0.61819,0.83441,0.42857,0.44051,0.20085,1.08875,4.43466,0.46578,0.63945,1.17309,0.000163962,0.000163962,0.000163962
