epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49547,1.76182,2.64028,0.34628,1.10959,1.72987,0.80907,0.90899,0.91264,0.71704,1,0.70054,0.76924,0.36513,0.88109,3.78341,0.40297,0.5097,1.0897,0,0,0
2,5.11772,1.46975,3.36078,0.41188,2.05803,1.35532,0.84007,0.85714,0.91789,0.72088,1,0.70649,0.76914,0.36002,0.87979,3.78397,0.39834,0.50595,1.08837,1.9802e-05,1.9802e-05,1.9802e-05
3,5.59507,1.26342,4.50318,0.38583,0.91987,1.30227,0.80019,0.85824,0.92314,0.72389,1,0.70345,0.76902,0.34845,0.88617,3.79815,0.40269,0.50596,1.09331,3.9208e-05,3.9208e-05,3.9208e-05
4,5.99308,1.5147,4.25011,0.45894,1.72615,1.51195,0.80074,0.86135,0.92301,0.72167,1,0.70074,0.76902,0.35536,0.88146,3.76824,0.40564,0.5133,1.09031,5.8218e-05,5.8218e-05,5.8218e-05
5,6.40988,1.27866,3.02964,0.37512,1.02919,1.35543,0.87302,0.85714,0.9234,0.71546,1,0.70061,0.76905,0.34516,0.88157,3.70878,0.40522,0.51071,1.08737,7.6832e-05,7.6832e-05,7.6832e-05
6,6.82444,1.20354,3.8925,0.3637,0.84493,1.3264,0.80356,0.92857,0.91028,0.69888,0.9781,0.64286,0.74895,0.32562,0.91397,3.88695,0.43719,0.52409,1.10783,9.505e-05,9.505e-05,9.505e-05
7,7.35394,1.14326,2.60014,0.35074,0.90071,1.16957,0.79749,0.92857,0.89819,0.66406,0.85699,0.57143,0.6564,0.25879,0.94041,4.08604,0.4601,0.53896,1.11805,0.000112872,0.000112872,0.000112872
8,7.85484,1.37941,4.09571,0.46875,1.17232,1.36996,0.80747,0.92857,0.89852,0.635,0.79791,0.57143,0.63251,0.20811,1.03437,4.35768,0.47961,0.59043,1.15279,0.000130298,0.000130298,0.000130298
9,8.38919,1.22619,2.57385,0.35589,1.01337,1.358,0.80821,0.92857,0.89899,0.63521,0.79168,0.57143,0.63251,0.22234,1.02723,4.35052,0.48014,0.58775,1.15119,0.000147328,0.000147328,0.000147328
10,8.91235,1.20773,1.83903,0.35869,0.99371,1.27869,0.91485,0.76856,0.89471,0.604,0.83464,0.42857,0.44042,0.20699,1.09654,4.5053,0.46724,0.63281,1.1758,0.000163962,0.000163962,0.000163962
11,9.47141,1.14064,3.90132,0.38208,0.95192,1.31436,0.97661,0.71429,0.88001,0.5966,0.83405,0.42857,0.42685,0.14733,1.1669,4.812,0.47382,0.67689,1.21887,0.0001802,0.0001802,0.0001802
12,10.0224,1.08976,2.65156,0.35877,0.72019,1.18252,1,0.76974,0.86383,0.58249,0.82274,0.42857,0.39805,0.10746,1.17149,5.11313,0.47407,0.73728,1.22345,0.000196042,0.000196042,0.000196042
13,10.5656,0.98427,2.03944,0.25228,0.62866,1.10969,0.99596,0.71429,0.86258,0.57752,0.64064,0.42857,0.38066,0.09222,1.1483,5.42976,0.47083,0.7725,1.20735,0.000211488,0.000211488,0.000211488
14,11.0898,1.07637,3.60848,0.49493,1.11841,1.39356,1,0.62525,0.8474,0.58028,0.66453,0.42491,0.37036,0.0911,1.17306,5.71099,0.46425,0.87292,1.21678,0.000226538,0.000226538,0.000226538
